X1, X2, X3, y
0.625,0.199,0.409,0.12
0.661,0.136,0.295,0.117
0.652,0.163,0.182,0.125
0.589,0.228,0.261,0.203
0.75,0.13,0.307,0.116
0.67,0.184,0.295,0.08
0.571,0.295,0.091,0.249
0.518,0.349,0.091,0.273
0.437,0.418,0.375,0.293
0.83,0.027,0.33,0.046
0.723,0.242,0.182,0.14
0.58,0.306,0.125,0.279
0.571,0.429,0.364,0.221
0.777,0.358,0.33,0.461
0.589,0.302,0.182,0.174
0.571,0.304,0.591,0.224
0.696,0.154,0.33,0.148
0.804,0.163,0.239,0.13
0.598,0.291,0.341,0.231
0.571,0.26,0.205,0.14
0.821,0.174,0.125,0.076
0.661,0.175,0.295,0.033
0.58,0.427,0.33,0.239
0.616,0.184,0.375,0.126
0.429,0.353,0.5,0.208
0.348,0.729,0.443,0.307
0.527,0.403,0.227,0.234
0.393,0.599,0.545,0.454
0.536,0.293,0.455,0.239
0.705,0.233,0.25,0.141
0.455,0.508,0.614,0.306
0.679,0.183,0.17,0.144
0.688,0.374,0.318,0.128
0.429,0.266,0.5,0.168
0.562,0.315,0.364,0.229
0.857,0.0,0.193,0.049
0.536,0.533,0.466,0.536
0.509,0.429,0.432,0.374
0.509,0.363,0.716,0.339
0.437,0.42,0.795,0.396
0.509,0.378,0.398,0.236
0.589,0.163,0.341,0.134
0.33,0.512,0.739,0.323
0.723,0.123,0.205,0.037
0.375,0.579,0.682,0.381
0.982,0.213,0.193,0.345
0.839,0.157,0.068,0.063
0.455,0.403,0.545,0.274
0.714,0.116,0.284,0.075
0.607,0.273,0.364,0.21
0.598,0.204,0.182,0.148
0.473,0.461,0.477,0.385
0.607,0.288,0.205,0.347
0.625,0.307,0.307,0.2
0.83,0.136,0.102,0.113
0.705,0.222,0.216,0.112
0.366,0.443,0.398,0.335
0.661,0.128,0.159,0.028
0.393,0.481,0.625,0.304
0.518,0.331,0.341,0.26
0.545,0.268,0.352,0.183
0.839,0.0,0.352,0.079
0.509,0.608,0.227,0.249
0.768,0.085,0.227,0.085
0.688,0.203,0.216,0.197
0.536,0.344,0.148,0.308
0.446,0.454,0.364,0.319
0.429,0.494,0.284,0.323
0.571,0.25,0.42,0.167
0.643,0.336,0.261,0.257
0.75,0.058,0.239,0.091
0.58,0.273,0.216,0.22
0.804,0.009,0.284,0.087
0.67,0.248,0.239,0.108
0.562,0.304,0.205,0.273
0.429,0.458,0.591,0.273
0.714,0.392,1.0,0.537
0.491,0.374,0.693,0.349
0.759,0.11,0.5,0.089
0.384,0.438,0.591,0.34
0.509,0.369,0.398,0.256
0.616,0.371,0.284,0.236
0.509,0.353,0.443,0.265
0.911,0.226,0.42,0.404
0.545,0.315,0.239,0.195
0.804,0.427,0.341,0.364
0.634,0.302,0.114,0.256
0.589,0.244,0.545,0.151
0.348,0.642,0.67,0.493
0.848,0.242,0.818,0.393
0.429,0.555,0.398,0.319
0.429,0.371,0.489,0.173
0.661,0.17,0.364,0.132
0.634,0.206,0.307,0.191
0.634,0.248,0.284,0.193
0.723,0.096,0.239,0.068
0.554,0.193,0.295,0.129
0.705,0.199,0.25,0.188
0.616,0.488,0.568,0.518
0.295,0.808,0.523,0.34
0.616,0.233,0.341,0.238
0.777,0.235,0.148,0.095
0.429,0.443,0.682,0.345
0.661,0.231,0.182,0.179
0.366,0.472,0.705,0.35
0.545,0.331,0.239,0.151
0.616,0.391,0.409,0.239
0.429,0.528,0.545,0.349
0.732,0.119,0.193,0.114
0.554,0.306,0.125,0.24
0.446,0.557,0.795,0.435
0.866,0.121,0.045,0.048
0.536,0.458,0.591,0.265
0.661,0.458,0.659,0.521
0.625,0.233,0.17,0.121
0.554,0.407,0.318,0.296
0.437,0.396,0.455,0.254
0.518,0.307,0.295,0.255
0.625,0.242,0.114,0.313
0.571,0.295,0.534,0.206
0.67,0.183,0.466,0.136
0.83,0.101,0.068,0.077
0.661,0.166,0.33,0.108
0.58,0.192,0.352,0.134
0.482,0.441,0.352,0.289
0.714,0.136,0.227,0.125
0.875,0.089,0.0,0.023
0.42,0.495,0.568,0.34
0.384,0.684,0.409,0.321
