2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
0.541,0.555,0.542,0.512,0.481,0.458,0.396,0.353,0.371,0.266,0.262
0.280,0.295,0.278,0.260,0.233,0.213,0.163,0.136,0.174,0.101,0.112
0.179,0.179,0.183,0.199,0.193,0.192,0.175,0.166,0.181,0.128,0.137
0.474,0.495,0.467,0.429,0.391,0.371,0.302,0.235,0.289,0.179,0.192
0.156,0.161,0.156,0.161,0.154,0.152,0.130,0.110,0.125,0.085,0.085
0.606,0.637,0.579,0.533,0.488,0.458,0.392,0.358,0.427,0.331,0.365
0.322,0.338,0.324,0.325,0.304,0.295,0.251,0.231,0.257,0.183,0.145
0.392,0.412,0.385,0.369,0.331,0.304,0.244,0.203,0.242,0.159,0.168
0.481,0.515,0.501,0.479,0.454,0.438,0.374,0.300,0.362,0.248,0.259
0.485,0.486,0.454,0.438,0.403,0.378,0.327,0.297,0.318,0.244,0.248
0.685,0.729,0.637,0.579,0.528,0.494,0.394,0.354,0.414,0.306,0.315
0.523,0.526,0.497,0.461,0.429,0.387,0.320,0.288,0.306,0.242,0.235
0.624,0.638,0.559,0.508,0.458,0.427,0.336,0.298,0.342,0.241,0.251
0.271,0.300,0.275,0.268,0.235,0.210,0.157,0.121,0.181,0.089,0.101
0.166,0.174,0.183,0.199,0.193,0.192,0.184,0.166,0.184,0.127,0.143
0.291,0.306,0.302,0.293,0.273,0.248,0.204,0.168,0.212,0.132,0.145
0.363,0.380,0.358,0.342,0.315,0.291,0.233,0.206,0.244,0.166,0.108
0.693,0.716,0.682,0.642,0.599,0.557,0.474,0.439,0.488,0.394,0.412
0.391,0.400,0.363,0.342,0.320,0.298,0.242,0.226,0.266,0.213,0.231
0.125,0.141,0.134,0.136,0.119,0.099,0.069,0.063,0.101,0.051,0.065
0.514,0.532,0.492,0.472,0.443,0.425,0.374,0.344,0.349,0.275,0.277
0.474,0.490,0.456,0.443,0.418,0.398,0.344,0.315,0.331,0.260,0.260
0.233,0.244,0.222,0.210,0.183,0.170,0.136,0.119,0.150,0.096,0.092
0.664,0.698,0.620,0.559,0.495,0.454,0.353,0.307,0.378,0.228,0.239
0.354,0.374,0.367,0.340,0.307,0.273,0.199,0.172,0.222,0.116,0.130
0.069,0.069,0.058,0.058,0.043,0.034,0.009,0.000,0.027,0.000,0.009
0.512,0.521,0.461,0.436,0.420,0.407,0.363,0.345,0.365,0.295,0.273
0.152,0.159,0.156,0.163,0.152,0.139,0.116,0.099,0.123,0.069,0.031
0.940,1.000,0.881,0.808,0.729,0.684,0.555,0.492,0.608,0.403,0.438
0.483,0.508,0.468,0.441,0.407,0.373,0.300,0.273,0.302,0.204,0.213
0.324,0.333,0.320,0.300,0.268,0.250,0.203,0.192,0.233,0.163,0.177
