2011,2012,2013,2014,2015,2016,2017,2018
0.164,0.184,0.205,0.184,0.247,0.310,0.331,0.331
0.273,0.318,0.336,0.363,0.394,0.415,0.394,0.405
0.163,0.173,0.184,0.184,0.226,0.247,0.273,0.247
0.309,0.352,0.352,0.400,0.415,0.461,0.436,0.454
0.211,0.226,0.226,0.268,0.310,0.329,0.310,0.331
0.491,0.545,0.554,0.553,0.645,0.618,0.591,0.600
0.184,0.196,0.201,0.226,0.257,0.289,0.289,0.289
0.247,0.289,0.352,0.352,0.382,0.413,0.415,0.415
0.225,0.247,0.289,0.289,0.351,0.352,0.362,0.373
0.184,0.225,0.289,0.331,0.331,0.373,0.383,0.373
0.327,0.373,0.409,0.445,0.509,0.536,0.500,0.554
0.427,0.464,0.464,0.491,0.464,0.527,0.509,0.518
0.231,0.268,0.331,0.363,0.394,0.415,0.415,0.425
0.258,0.268,0.309,0.331,0.362,0.394,0.394,0.373
0.178,0.184,0.194,0.191,0.226,0.247,0.289,0.289
0.215,0.205,0.224,0.289,0.320,0.310,0.331,0.331
0.236,0.289,0.341,0.331,0.394,0.415,0.373,0.352
0.409,0.436,0.482,0.518,0.554,0.554,0.546,0.561
0.736,0.691,0.791,0.773,0.827,0.873,1.000,0.827
0.204,0.000,0.331,0.352,0.394,0.371,0.373,0.355
0.327,0.352,0.391,0.418,0.445,0.482,0.478,0.478
0.184,0.215,0.226,0.247,0.310,0.352,0.362,0.362
0.247,0.310,0.352,0.373,0.415,0.436,0.415,0.415
0.205,0.205,0.287,0.267,0.337,0.383,0.400,0.415
0.204,0.205,0.218,0.215,0.289,0.331,0.331,0.332
0.310,0.352,0.436,0.457,0.499,0.496,0.427,0.499
0.331,0.352,0.394,0.418,0.467,0.445,0.454,0.482
0.152,0.196,0.215,0.226,0.268,0.289,0.289,0.278
0.373,0.382,0.464,0.418,0.464,0.518,0.518,0.518
0.205,0.205,0.236,0.247,0.310,0.341,0.352,0.362
0.355,0.409,0.457,0.463,0.518,0.518,0.527,0.520
